event_count,code_edit_count,cursor_move_count,editor_focus_count,mean_inter_event_time,std_inter_event_time,mean_edit_length,std_edit_length,large_edit_count
6,3,3,0,0.8291839748620987,1.0240490580870159,250.66666666666666,1.247219128924647,3
5,2,3,0,0.8649322602432221,0.9517930433542178,251.5,0.5,2
8,3,5,0,0.6881021428853273,0.7804588119234387,252.0,0.816496580927726,3
6,2,4,0,0.5045754835009575,0.4573056089480576,252.5,0.5,2
9,3,5,0,0.5051438490627334,0.5660288127383948,252.33333333333334,0.4714045207910317,3
7,2,4,0,0.4792098890369137,0.5582900778200082,252.5,0.5,2
7,2,4,0,0.6218745762792727,0.7153627981219542,252.5,0.5,2
6,2,3,0,0.5362379251047968,0.6887476402751032,252.5,0.5,2
9,3,5,0,0.5743763959035277,0.6131962068796336,253.0,0.816496580927726,3
12,5,7,0,0.3369904015721245,0.40336526515336635,255.0,1.4142135623730951,5
16,7,9,0,0.30911907497793434,0.36988226721291606,256.0,2.0,7
15,7,8,0,0.26019035412796904,0.3326784410481948,256.0,2.0,7
13,6,7,0,0.21865619788877666,0.2719729300680479,256.5,1.707825127659933,6
12,6,6,0,0.3857793371955102,0.7909886473220705,257.6666666666667,1.9720265943665387,6
8,4,4,0,0.5636500834620425,0.9531124880827343,265.25,10.304731922762475,4
10,5,5,0,0.2458520092897945,0.3744419350193022,279.8,9.45304183847718,5
14,7,7,0,0.20759098081348035,0.32484264410541525,282.0,8.717797887081348,7
16,8,8,0,0.2781717972209056,0.44276852128590577,283.0,8.573214099741124,8
14,7,7,0,0.2770574423126303,0.46231482315254196,286.14285714285717,2.2314999074019015,7
12,6,6,0,0.22095866662196137,0.41232623230450605,286.6666666666667,1.9720265943665387,6
6,3,3,0,0.3298140332102776,0.5753252539732497,288.3333333333333,1.247219128924647,3
4,2,2,0,1.3944474862267573,1.970521495358618,290.5,0.5,2
4,1,3,0,0.3021271942804257,0.2142694004648083,291.0,0.0,1
5,1,4,0,0.46548454137519,0.33836430150235886,291.0,0.0,1
7,2,5,0,0.5160379304240147,0.45608010143621774,291.5,0.5,2
7,2,5,0,0.5160379304240147,0.45608010143621774,291.5,0.5,2
6,1,5,0,0.7659544751048089,0.4631871171421586,292.0,0.0,1
5,1,4,0,0.997743739746511,0.5993360449606511,292.0,0.0,1
4,1,3,0,0.9192073612163464,0.6739928847608365,292.0,0.0,1
4,1,3,0,1.078488347120583,0.7624763819757362,293.0,0.0,1
4,1,3,0,1.078488347120583,0.7624763819757362,293.0,0.0,1
7,3,4,0,0.714134611034145,0.9348340422436857,294.0,0.816496580927726,3
10,5,5,0,0.3402490510294835,0.7208323081504943,295.0,1.4142135623730951,5
12,6,6,0,0.3521624849262563,0.6749697628407182,295.5,1.707825127659933,6
